"Sortie ID","Route ID","Model ID","Drone ID","Battery ID","Preparation Start (s)","Takeoff (s)","Return to O01 (s)","Battery Occupancy Duration (s)","Battery Ready (s)","Cargo Box ID","Delivery Completion (s)"
"Q2-019","Q2-5f2d89f9ab0232b5","B","U06","B-BAT-01","3782.107403132738","4172.107403132738","5610.395987153188","3494.8652509108974","7276.972654043635","S015-WAT-01","4969.691695142963"
"Q2-019","Q2-5f2d89f9ab0232b5","B","U06","B-BAT-01","3782.107403132738","4172.107403132738","5610.395987153188","3494.8652509108974","7276.972654043635","S015-FOD-01","4999.691695142963"
"Q2-020","Q2-c29f4c36e61f7845","C","U07","C-BAT-01","4208.636514429402","4658.636514429402","6408.348599021577","4613.647509697968","8822.28402412737","S008-MED-01","5562.33255672549"
"Q2-020","Q2-c29f4c36e61f7845","C","U07","C-BAT-01","4208.636514429402","4658.636514429402","6408.348599021577","4613.647509697968","8822.28402412737","S008-WAT-01","5598.33255672549"
"Q2-020","Q2-c29f4c36e61f7845","C","U07","C-BAT-01","4208.636514429402","4658.636514429402","6408.348599021577","4613.647509697968","8822.28402412737","S008-WAT-02","5634.33255672549"
"Q2-020","Q2-c29f4c36e61f7845","C","U07","C-BAT-01","4208.636514429402","4658.636514429402","6408.348599021577","4613.647509697968","8822.28402412737","S008-FOD-01","5670.33255672549"
"Q2-020","Q2-c29f4c36e61f7845","C","U07","C-BAT-01","4208.636514429402","4658.636514429402","6408.348599021577","4613.647509697968","8822.28402412737","S008-HYG-01","5706.33255672549"
"Q2-021","Q2-4d88573adf4a2d76","B","U05","B-BAT-03","5558.654556692262","5948.654556692262","7117.096804086668","3133.47745872389","8692.132015416151","S009-MED-01","6589.465680389465"
"Q2-021","Q2-4d88573adf4a2d76","B","U05","B-BAT-03","5558.654556692262","5948.654556692262","7117.096804086668","3133.47745872389","8692.132015416151","S009-WAT-01","6619.465680389465"
"Q2-021","Q2-4d88573adf4a2d76","B","U05","B-BAT-03","5558.654556692262","5948.654556692262","7117.096804086668","3133.47745872389","8692.132015416151","S009-FOD-01","6649.465680389465"
"Q2-022","Q2-dbca2ab674a4fcf6","B","U06","B-BAT-04","5610.395987153188","5940.395987153188","7000.866267446132","2713.9092953235313","8324.305282476718","S013-FOD-01","6553.164460632994"
"Q2-023","Q2-30d865db2c27439f","C","U08","C-BAT-03","5619.795871333059","6099.795871333059","7496.991029528602","3854.0463485192877","9473.842219852348","S005-MED-01","6813.02845043083"
"Q2-023","Q2-30d865db2c27439f","C","U08","C-BAT-03","5619.795871333059","6099.795871333059","7496.991029528602","3854.0463485192877","9473.842219852348","S005-WAT-01","6849.02845043083"
"Q2-023","Q2-30d865db2c27439f","C","U08","C-BAT-03","5619.795871333059","6099.795871333059","7496.991029528602","3854.0463485192877","9473.842219852348","S005-WAT-02","6885.02845043083"
"Q2-023","Q2-30d865db2c27439f","C","U08","C-BAT-03","5619.795871333059","6099.795871333059","7496.991029528602","3854.0463485192877","9473.842219852348","S005-WAT-03","6921.02845043083"
"Q2-023","Q2-30d865db2c27439f","C","U08","C-BAT-03","5619.795871333059","6099.795871333059","7496.991029528602","3854.0463485192877","9473.842219852348","S005-FOD-01","6957.02845043083"
"Q2-023","Q2-30d865db2c27439f","C","U08","C-BAT-03","5619.795871333059","6099.795871333059","7496.991029528602","3854.0463485192877","9473.842219852348","S005-HYG-01","6993.02845043083"
"Q2-024","Q2-5bc81bb5720b5346","C","U07","C-BAT-04","6708.3958186849595","7218.3958186849595","8268.566210563868","3204.8604280790514","9913.256246764011","S001-WAT-03","7740.666014624414"
"Q2-024","Q2-5bc81bb5720b5346","C","U07","C-BAT-04","6708.3958186849595","7218.3958186849595","8268.566210563868","3204.8604280790514","9913.256246764011","S001-WAT-04","7776.666014624414"
"Q2-024","Q2-5bc81bb5720b5346","C","U07","C-BAT-04","6708.3958186849595","7218.3958186849595","8268.566210563868","3204.8604280790514","9913.256246764011","S001-WAT-05","7812.666014624414"
"Q2-024","Q2-5bc81bb5720b5346","C","U07","C-BAT-04","6708.3958186849595","7218.3958186849595","8268.566210563868","3204.8604280790514","9913.256246764011","S001-WAT-08","7848.666014624414"
"Q2-024","Q2-5bc81bb5720b5346","C","U07","C-BAT-04","6708.3958186849595","7218.3958186849595","8268.566210563868","3204.8604280790514","9913.256246764011","S001-FOD-01","7884.666014624414"
"Q2-024","Q2-5bc81bb5720b5346","C","U07","C-BAT-04","6708.3958186849595","7218.3958186849595","8268.566210563868","3204.8604280790514","9913.256246764011","S001-FOD-02","7920.666014624414"
"Q2-024","Q2-5bc81bb5720b5346","C","U07","C-BAT-04","6708.3958186849595","7218.3958186849595","8268.566210563868","3204.8604280790514","9913.256246764011","S001-HYG-01","7956.666014624414"
