Scenario,Sortie ID,Service Area ID,Model ID,Cargo Box ID List,Total Mass (kg),Total Volume (m³),Round-Trip Time (s),Sortie Energy (kWh),Return SOC (%),Operation Time (s),Batch ID
r0.20_a1.0_b1.0,Q1-017,S014,B,"S014-FOD-01, S014-MED-01, S014-WAT-01",25.0,0.067,1479.7521946190163,2.1403772473853557,46.4905688153661,1869.7521946190163,S014|B|00007
r0.20_a1.0_b1.0,Q1-018,S015,B,"S015-FOD-01, S015-MED-01, S015-WAT-01",25.0,0.067,1438.2885840204503,2.307484615901031,42.31288460247422,1828.2885840204503,S015|B|00007
r0.20_a1.0_b1.1,Q1-001,S001,C,"S001-FOD-02, S001-FOD-03, S001-HYG-01, S001-HYG-02, S001-MED-01, S001-MED-02, S001-WAT-01, S001-WAT-02, S001-WAT-03",76.0,0.231,1122.1703918789085,2.9279738631607564,63.40032671049054,1692.1703918789085,S001|C|01022
r0.20_a1.0_b1.1,Q1-002,S001,C,"S001-FOD-01, S001-WAT-04, S001-WAT-05, S001-WAT-06, S001-WAT-07, S001-WAT-08",78.0,0.163,1014.1703918789086,3.0062710940382784,62.42161132452152,1494.1703918789085,S001|C|31745
r0.20_a1.0_b1.1,Q1-003,S002,B,"S002-FOD-02, S002-MED-01, S002-WAT-01",25.0,0.067,1426.6939339219116,2.7217959227941244,31.95510193014689,1816.6939339219116,S002|B|00026
r0.20_a1.0_b1.1,Q1-004,S002,C,"S002-FOD-01, S002-HYG-01, S002-WAT-02, S002-WAT-03, S002-WAT-04",56.0,0.14400000000000002,1591.8120186387084,5.732225824787271,28.347177190159112,2041.8120186387084,S002|C|00229
r0.20_a1.0_b1.1,Q1-005,S003,B,"S003-FOD-02, S003-MED-01, S003-WAT-01",25.0,0.067,1690.5430982758824,2.8002502537029583,29.99374365742604,2080.5430982758826,S003|B|00026
r0.20_a1.0_b1.1,Q1-006,S003,C,"S003-FOD-01, S003-HYG-01, S003-WAT-02, S003-WAT-03, S003-WAT-04",56.0,0.14400000000000002,1920.1111443370805,5.7916699853734235,27.604125182832206,2370.1111443370805,S003|C|00229
r0.20_a1.0_b1.1,Q1-007,S004,C,"S004-FOD-01, S004-HYG-01, S004-MED-01, S004-WAT-01, S004-WAT-02, S004-WAT-03",59.0,0.156,1821.0610665932259,6.170651479158261,22.86685651052174,2301.061066593226,S004|C|00063
r0.20_a1.0_b1.1,Q1-008,S005,C,"S005-FOD-01, S005-HYG-01, S005-MED-01, S005-WAT-01, S005-WAT-02, S005-WAT-03",59.0,0.156,1397.1951581955423,4.2353904065972126,47.05761991753484,1877.1951581955423,S005|C|00063
r0.20_a1.0_b1.1,Q1-009,S006,C,"S006-FOD-01, S006-HYG-01, S006-MED-01, S006-WAT-01, S006-WAT-02, S006-WAT-03",59.0,0.156,1081.5595259403467,2.6110080861471747,67.36239892316031,1561.5595259403467,S006|C|00063
r0.20_a1.0_b1.1,Q1-010,S007,C,"S007-FOD-01, S007-HYG-01, S007-MED-01, S007-WAT-01, S007-WAT-02",45.0,0.129,1457.5754478361764,3.431977369323416,57.1002828834573,1907.5754478361764,S007|C|00031
r0.20_a1.0_b1.1,Q1-011,S008,C,"S008-FOD-01, S008-HYG-01, S008-MED-01, S008-WAT-01, S008-WAT-02",45.0,0.129,1749.7120845921743,5.849431225477312,26.882109681533596,2199.7120845921745,S008|C|00031
r0.20_a1.0_b1.1,Q1-012,S009,B,"S009-FOD-01, S009-MED-01, S009-WAT-01",25.0,0.067,1168.4422473944055,2.1034289067979457,47.414277330051355,1558.4422473944055,S009|B|00007
r0.20_a1.0_b1.1,Q1-013,S010,B,"S010-FOD-01, S010-MED-01, S010-WAT-01",25.0,0.067,1165.376902446339,1.835745055817644,54.1063736045589,1555.376902446339,S010|B|00007
r0.20_a1.0_b1.1,Q1-014,S011,B,"S011-FOD-01, S011-MED-01, S011-WAT-01",25.0,0.067,798.4236501116584,1.0817194977705922,72.95701255573519,1188.4236501116584,S011|B|00007
r0.20_a1.0_b1.1,Q1-015,S012,B,"S012-FOD-01, S012-MED-01, S012-WAT-01",25.0,0.067,1532.7345559700407,2.765411379138528,30.8647155215368,1922.7345559700407,S012|B|00007
r0.20_a1.0_b1.1,Q1-016,S013,B,"S013-FOD-01, S013-MED-01, S013-WAT-01",25.0,0.067,1120.4702802929446,1.8351692662524575,54.12076834368856,1510.4702802929446,S013|B|00007
r0.20_a1.0_b1.1,Q1-017,S014,B,"S014-FOD-01, S014-MED-01, S014-WAT-01",25.0,0.067,1479.7521946190163,2.162118147090607,45.94704632273483,1869.7521946190163,S014|B|00007
r0.20_a1.0_b1.1,Q1-018,S015,B,"S015-FOD-01, S015-MED-01, S015-WAT-01",25.0,0.067,1438.2885840204503,2.3250053760381655,41.87486559904586,1828.2885840204503,S015|B|00007
r0.20_a1.1_b0.9,Q1-001,S001,C,"S001-FOD-02, S001-FOD-03, S001-HYG-01, S001-HYG-02, S001-MED-01, S001-MED-02, S001-WAT-01, S001-WAT-02, S001-WAT-03",76.0,0.231,1122.1703918789085,3.1885855864031054,60.14268016996118,1692.1703918789085,S001|C|01022
r0.20_a1.1_b0.9,Q1-002,S001,C,"S001-FOD-01, S001-WAT-04, S001-WAT-05, S001-WAT-06, S001-WAT-07, S001-WAT-08",78.0,0.163,1014.1703918789086,3.274371457045079,59.07035678693651,1494.1703918789085,S001|C|31745
r0.20_a1.1_b0.9,Q1-003,S002,B,"S002-FOD-02, S002-MED-01, S002-WAT-01",25.0,0.067,1426.6939339219116,2.9680142246777055,25.799644383057363,1816.6939339219116,S002|B|00026
r0.20_a1.1_b0.9,Q1-004,S002,C,"S002-FOD-01, S002-HYG-01, S002-WAT-02, S002-WAT-03, S002-WAT-04",56.0,0.14400000000000002,1591.8120186387084,6.271338384331698,21.608270195853773,2041.8120186387084,S002|C|00229
r0.20_a1.1_b0.9,Q1-005,S003,B,"S003-FOD-02, S003-MED-01, S003-WAT-01",25.0,0.067,1690.5430982758824,3.0174069409298636,24.56482647675341,2080.5430982758826,S003|B|00026
r0.20_a1.1_b0.9,Q1-006,S003,C,"S003-FOD-01, S003-HYG-01, S003-WAT-02, S003-WAT-03, S003-WAT-04",56.0,0.14400000000000002,1920.1111443370805,6.288400330162086,21.394995872973922,2370.1111443370805,S003|C|00229
r0.20_a1.1_b0.9,Q1-007,S004,B,"S004-MED-01, S004-WAT-01",17.0,0.039,1561.648011173304,2.8090326378459265,29.774184053851837,1921.648011173304,S004|B|00012
