Scenario,Sample ID,Sample status,Sorties,Energy (kWh),Operation Time (s),Selected batch IDs
r0.30_a1.0_b0.9,13,formal sampled,26,66.18221914222505,46485.57841439696,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|B|00024;S003|B|00036;S003|B|00066;S003|B|00129;S004|B|00012;S004|B|00018;S004|B|00033;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.0,1,formal sampled,20,67.22803113791093,36586.26912606206,S001|C|01022;S001|C|31745;S002|C|00054;S002|C|00201;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.0,2,formal sampled,21,67.02164955647481,38262.24165580398,S001|C|01022;S001|C|31745;S002|C|00054;S002|C|00201;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.0,3,formal sampled,21,67.06549397884407,38123.84497526718,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|C|00195;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.0,4,formal sampled,21,67.06594562032784,38117.84497526718,S001|C|01022;S001|C|31745;S002|B|00011;S002|B|00132;S002|C|00112;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.0,5,formal sampled,22,66.85911239740796,39799.817505009094,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|C|00195;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.0,6,formal sampled,22,66.85956403889172,39793.817505009094,S001|C|01022;S001|C|31745;S002|B|00011;S002|B|00132;S002|C|00112;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.0,7,formal sampled,22,66.93925111816442,39661.42082447229,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.0,8,formal sampled,23,66.7328695367283,41337.393354214204,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|C|00054;S003|C|00201;S004|B|00012;S004|C|00051;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.0,9,formal sampled,23,66.83004925490184,41335.65578022567,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|C|00054;S003|C|00201;S004|B|00012;S004|B|00018;S004|B|00033;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|C|00028;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
r0.30_a1.0_b1.0,10,formal sampled,24,66.62366767346572,43011.628309967586,S001|C|01022;S001|C|31745;S002|B|00024;S002|B|00036;S002|B|00066;S002|B|00129;S003|C|00054;S003|C|00201;S004|B|00012;S004|B|00018;S004|B|00033;S005|C|00063;S006|C|00063;S007|C|00031;S008|B|00003;S008|B|00008;S008|B|00020;S009|B|00007;S010|B|00007;S011|B|00007;S012|B|00007;S013|B|00007;S014|B|00007;S015|B|00007
